iter	Passed	Remaining
256	3473	10041
257	3486	10026
258	3499	10013
259	3515	10004
260	3529	9992
261	3545	9987
262	3557	9968
263	3570	9953
264	3583	9938
265	3596	9923
266	3610	9910
267	3622	9893
268	3636	9882
269	3648	9865
270	3661	9848
271	3673	9831
272	3687	9819
273	3703	9812
274	3718	9804
275	3735	9798
276	3748	9784
277	3763	9773
278	3776	9758
279	3789	9745
280	3803	9731
281	3816	9717
282	3828	9700
283	3842	9686
284	3854	9669
285	3865	9650
286	3878	9634
287	3888	9613
288	3899	9594
289	3911	9575
290	3923	9559
291	3937	9547
292	3948	9528
293	3958	9505
294	3970	9488
295	3982	9471
296	3996	9458
297	4007	9439
298	4019	9424
299	4033	9412
300	4049	9404
301	4060	9385
302	4070	9364
303	4082	9347
304	4094	9329
305	4105	9311
306	4120	9301
307	4135	9290
308	4151	9283
309	4162	9265
310	4176	9253
311	4189	9237
312	4201	9222
313	4215	9209
314	4226	9190
315	4239	9176
316	4251	9160
317	4264	9145
318	4280	9138
319	4294	9126
320	4309	9116
321	4326	9109
322	4342	9101
323	4357	9092
324	4372	9081
325	4387	9071
326	4405	9067
327	4422	9060
328	4440	9057
329	4457	9050
330	4472	9040
331	4486	9026
332	4498	9010
333	4514	9001
334	4529	8992
335	4546	8984
336	4560	8972
337	4573	8956
338	4585	8940
339	4599	8927
340	4616	8920
341	4631	8911
342	4646	8900
343	4658	8884
344	4673	8872
345	4684	8854
346	4695	8835
347	4707	8819
348	4717	8800
349	4728	8780
350	4740	8764
351	4751	8746
352	4761	8727
353	4772	8708
354	4782	8688
355	4793	8670
356	4803	8652
357	4814	8634
358	4824	8614
359	4836	8597
360	4845	8577
361	4855	8558
362	4866	8539
363	4876	8520
364	4886	8500
365	4900	8489
366	4914	8476
367	4927	8462
368	4940	8448
369	4954	8435
370	4968	8423
371	4979	8405
372	4993	8393
373	5005	8378
374	5020	8366
375	5033	8352
376	5043	8334
377	5054	8316
378	5065	8299
379	5075	8280
380	5085	8262
381	5095	8243
382	5106	8226
383	5117	8208
384	5127	8190
385	5136	8170
386	5147	8152
387	5159	8137
388	5169	8119
389	5182	8105
390	5192	8087
391	5202	8068
392	5212	8050
393	5223	8033
394	5233	8015
395	5242	7995
396	5252	7978
397	5264	7962
398	5274	7944
399	5283	7925
400	5294	7908
401	5305	7892
402	5316	7875
403	5327	7859
404	5338	7842
405	5348	7824
406	5358	7807
407	5371	7793
408	5381	7776
409	5392	7760
410	5403	7743
411	5413	7726
412	5424	7710
413	5435	7693
414	5448	7680
415	5459	7664
416	5470	7648
417	5480	7631
418	5490	7612
419	5501	7597
420	5512	7580
421	5522	7564
422	5534	7549
423	5547	7536
424	5559	7521
425	5569	7504
426	5579	7487
427	5591	7472
428	5602	7456
429	5611	7439
430	5623	7424
431	5634	7408
432	5644	7391
433	5654	7374
434	5664	7357
435	5676	7342
436	5687	7327
437	5699	7313
438	5713	7301
439	5725	7286
440	5736	7271
441	5747	7255
442	5757	7238
443	5768	7224
444	5780	7208
445	5790	7192
446	5803	7179
447	5813	7163
448	5822	7145
449	5833	7129
450	5844	7114
451	5854	7098
452	5864	7081
453	5875	7065
454	5884	7048
455	5895	7032
456	5905	7017
457	5914	6999
458	5926	6985
459	5937	6970
460	5950	6956
461	5961	6942
462	5971	6925
463	5983	6911
464	5994	6896
465	6003	6879
466	6014	6864
467	6025	6849
468	6035	6833
469	6048	6821
470	6059	6805
471	6068	6788
472	6078	6772
473	6088	6756
474	6098	6740
475	6108	6724
476	6118	6708
477	6129	6693
478	6139	6677
479	6150	6662
480	6159	6645
481	6170	6631
482	6180	6615
483	6191	6600
484	6200	6584
485	6212	6570
486	6223	6556
487	6237	6544
488	6248	6529
489	6257	6513
490	6268	6498
491	6278	6482
492	6289	6467
493	6298	6451
494	6308	6435
495	6318	6420
496	6329	6405
497	6338	6389
498	6354	6380
499	6369	6369
500	6380	6355
501	6397	6346
502	6408	6331
503	6420	6318
504	6434	6306
505	6444	6291
506	6453	6275
507	6464	6260
508	6474	6245
509	6486	6231
510	6496	6216
511	6508	6203
512	6519	6188
513	6529	6174
514	6542	6161
515	6554	6147
516	6563	6131
517	6573	6116
518	6583	6101
519	6592	6085
520	6602	6070
521	6613	6056
522	6626	6043
523	6640	6032
524	6655	6021
525	6669	6010
526	6682	5997
527	6696	5986
528	6708	5972
529	6721	5960
530	6738	5951
531	6753	5941
532	6767	5929
533	6781	5917
534	6796	5907
535	6810	5895
536	6822	5882
537	6836	5870
538	6849	5858
539	6862	5845
540	6873	5832
541	6886	5819
542	6900	5807
543	6912	5794
544	6924	5781
545	6937	5768
546	6950	5756
547	6963	5743
548	6977	5732
549	6992	5720
550	7007	5709
551	7020	5697
552	7032	5684
553	7046	5672
554	7058	5659
555	7072	5647
556	7083	5633
557	7095	5620
558	7106	5605
559	7117	5592
560	7130	5579
561	7143	5567
562	7154	5553
563	7165	5539
564	7177	5525
565	7188	5512
566	7201	5499
567	7211	5485
568	7223	5471
569	7234	5457
570	7244	5443
571	7254	5428
572	7265	5414
573	7277	5400
574	7291	5389
575	7302	5375
576	7316	5363
577	7329	5351
578	7342	5338
579	7353	5324
580	7364	5310
581	7374	5296
582	7386	5283
583	7398	5270
584	7409	5256
585	7421	5242
586	7431	5228
587	7442	5214
588	7454	5201
589	7465	5187
590	7477	5174
591	7489	5161
592	7499	5147
593	7511	5134
594	7523	5121
595	7534	5107
596	7545	5093
597	7559	5081
598	7569	5067
599	7581	5054
600	7593	5041
601	7605	5028
602	7616	5014
603	7627	5001
604	7639	4987
605	7652	4975
606	7663	4961
607	7675	4948
608	7687	4935
609	7697	4921
610	7709	4908
611	7721	4895
612	7732	4881
613	7744	4868
614	7756	4855
615	7768	4842
616	7780	4830
617	7791	4816
618	7802	4802
619	7852	4812
620	7868	4801
621	7889	4794
622	7909	4786
623	7935	4781
624	7955	4773
625	7972	4763
626	7994	4756
627	8022	4752
628	8033	4738
629	8046	4725
630	8071	4720
631	8095	4713
632	8114	4704
633	8130	4693
634	8147	4683
635	8162	4671
636	8173	4657
637	8183	4643
638	8193	4629
639	8204	4615
640	8217	4602
641	8229	4588
642	8241	4575
643	8253	4562
644	8268	4550
645	8279	4537
646	8292	4524
647	8305	4511
648	8317	4498
649	8333	4487
650	8344	4473
651	8358	4461
652	8373	4449
653	8385	4436
654	8399	4424
655	8410	4410
656	8423	4397
657	8438	4385
658	8452	4373
659	8468	4362
660	8481	4349
661	8494	4336
662	8506	4323
663	8518	4310
664	8530	4297
665	8544	4285
666	8557	4272
667	8571	4260
668	8583	4246
669	8596	4233
670	8609	4221
671	8621	4208
672	8635	4196
673	8650	4184
674	8666	4172
675	8679	4159
676	8691	4146
677	8703	4133
678	8715	4120
679	8727	4107
680	8737	4093
681	8752	4080
682	8764	4067
683	8776	4054
684	8790	4042
685	8802	4029
686	8813	4015
687	8824	4001
688	8834	3987
689	8848	3975
690	8859	3961
691	8871	3948
692	8884	3935
693	8897	3923
694	8909	3909
695	8921	3896
696	8933	3883
697	8946	3870
698	8958	3857
699	8972	3845
700	8987	3833
701	9001	3821
702	9014	3808
703	9029	3796
704	9042	3783
705	9058	3772
706	9072	3760
707	9087	3748
708	9103	3736
709	9117	3724
710	9130	3711
711	9149	3700
712	9164	3688
713	9180	3677
714	9195	3665
715	9210	3653
716	9224	3640
717	9236	3627
718	9250	3615
719	9262	3602
720	9275	3589
721	9286	3575
722	9299	3562
723	9312	3550
724	9325	3537
725	9337	3524
726	9349	3510
727	9363	3498
728	9376	3485
729	9390	3473
730	9403	3460
731	9415	3447
732	9428	3434
733	9441	3421
734	9452	3408
735	9464	3394
736	9475	3381
737	9487	3368
738	9498	3354
739	9512	3342
740	9524	3329
741	9536	3315
742	9546	3302
743	9559	3289
744	9570	3275
745	9583	3262
746	9595	3249
747	9607	3236
748	9618	3223
749	9630	3210
750	9642	3196
751	9655	3184
752	9665	3170
753	9679	3158
754	9693	3145
755	9706	3132
756	9718	3119
757	9732	3107
758	9743	3093
759	9756	3080
760	9769	3068
761	9782	3055
762	9796	3042
763	9806	3029
764	9819	3016
765	9831	3003
766	9844	2990
767	9856	2977
768	9871	2965
769	9886	2953
770	9900	2940
771	9913	2927
772	9925	2914
773	9935	2901
774	9948	2888
775	9957	2874
776	9970	2861
777	9985	2849
778	9997	2836
779	10011	2823
780	10022	2810
781	10034	2797
782	10045	2784
783	10066	2773
784	10079	2760
785	10093	2748
786	10105	2735
787	10118	2722
788	10128	2708
789	10142	2696
790	10153	2682
791	10165	2669
792	10176	2656
793	10188	2643
794	10200	2630
795	10211	2616
796	10225	2604
797	10237	2591
798	10249	2578
799	10262	2565
800	10275	2552
801	10288	2540
802	10299	2526
803	10312	2513
804	10324	2500
805	10339	2488
806	10353	2475
807	10364	2462
808	10377	2450
809	10389	2437
810	10402	2424
811	10415	2411
812	10431	2399
813	10445	2386
814	10459	2374
815	10472	2361
816	10496	2351
817	10509	2338
818	10524	2326
819	10538	2313
820	10553	2300
821	10569	2288
822	10584	2276
823	10600	2264
824	10614	2251
825	10627	2238
826	10641	2226
827	10654	2213
828	10668	2200
829	10681	2187
830	10697	2175
831	10710	2162
832	10740	2153
833	10755	2140
834	10770	2128
835	10782	2115
836	10795	2102
837	10807	2089
838	10821	2076
839	10834	2063
840	10847	2050
841	10859	2037
842	10871	2024
843	10885	2012
844	10898	1999
845	10910	1986
846	10922	1972
847	10933	1959
848	10945	1946
849	10957	1933
850	10969	1920
851	10981	1907
852	10993	1894
853	11004	1881
854	11017	1868
855	11028	1855
856	11039	1842
857	11050	1828
858	11061	1815
859	11074	1802
860	11085	1789
861	11099	1776
862	11110	1763
863	11122	1750
864	11137	1738
865	11152	1725
866	11168	1713
867	11183	1700
868	11198	1688
869	11214	1675
870	11228	1663
871	11242	1650
872	11257	1637
873	11273	1625
874	11287	1612
875	11301	1599
876	11315	1587
877	11331	1574
878	11346	1561
879	11364	1549
880	11382	1537
881	11399	1525
882	11417	1512
883	11434	1500
884	11452	1488
885	11470	1475
886	11487	1463
887	11504	1451
888	11520	1438
889	11537	1425
890	11563	1414
891	11603	1404
892	11620	1392
893	11634	1379
894	11650	1366
895	11666	1354
896	11678	1340
897	11693	1328
898	11706	1315
899	11720	1302
900	11732	1289
901	11746	1276
902	11758	1263
903	11771	1250
904	11783	1236
905	11796	1223
906	11809	1210
907	11822	1197
908	11833	1184
909	11845	1171
910	11858	1158
911	11871	1145
912	11885	1132
913	11896	1119
914	11911	1106
915	11926	1093
916	11938	1080
917	11952	1067
918	11964	1054
919	11977	1041
920	11988	1028
921	12001	1015
922	12013	1002
923	12025	989
924	12038	976
925	12052	963
926	12064	950
927	12076	936
928	12091	924
929	12105	911
930	12118	898
931	12130	885
932	12141	871
933	12157	859
934	12169	846
935	12182	833
936	12196	820
937	12210	807
938	12221	793
939	12232	780
940	12246	767
941	12256	754
942	12268	741
943	12279	728
944	12289	715
945	12303	702
946	12313	689
947	12323	675
948	12336	662
949	12346	649
950	12356	636
951	12368	623
952	12378	610
953	12390	597
954	12401	584
955	12413	571
956	12425	558
957	12436	545
958	12447	532
959	12456	519
960	12466	505
961	12476	492
962	12487	479
963	12499	466
964	12509	453
965	12518	440
966	12532	427
967	12544	414
968	12555	401
969	12566	388
970	12579	375
971	12591	362
972	12615	350
973	12643	337
974	12655	324
975	12666	311
976	12678	298
977	12689	285
978	12701	272
979	12712	259
980	12730	246
981	12742	233
982	12754	220
983	12769	207
984	12783	194
985	12796	181
986	12814	168
987	12827	155
988	12840	142
989	12853	129
990	12866	116
991	12879	103
992	12893	90
993	12907	77
994	12921	64
995	12935	51
996	12948	38
997	12961	25
998	12973	12
999	12986	0
